"Current Employment Statistics (CES-790)"

"Area: ","Massachusetts"
"Industry: ","Total nonfarm"
"Time Period: ","2025, 2024, 2023, 2022, 2021"
"Seasonally Adjusted Data"

"Year","CES Series Code","Description","January","February","March","April","May","June","July","August","September","October","November","December"
"2025","00-000000","Total nonfarm","3,718,900","3,716,500","***","***","***","***","***","***","***","***","***","***"
"2025","05-000000","Total private","3,246,300","3,244,400","***","***","***","***","***","***","***","***","***","***"
"2025","06-000000","Goods-producing","396,800","398,100","***","***","***","***","***","***","***","***","***","***"
"2025","07-000000","Service-providing","3,322,100","3,318,400","***","***","***","***","***","***","***","***","***","***"
"2025","08-000000","Private service-providing","2,849,500","2,846,300","***","***","***","***","***","***","***","***","***","***"
"2025","10-000000","Mining and logging","1,100","1,100","***","***","***","***","***","***","***","***","***","***"
"2025","15-000000","Mining, Logging, and Construction","166,900","168,300","***","***","***","***","***","***","***","***","***","***"
"2025","20-000000","Construction","165,800","167,200","***","***","***","***","***","***","***","***","***","***"
"2025","30-000000","Manufacturing","229,900","229,800","***","***","***","***","***","***","***","***","***","***"
"2025","31-000000","Durable goods","143,400","143,500","***","***","***","***","***","***","***","***","***","***"
"2025","32-000000","Nondurable goods","86,500","86,300","***","***","***","***","***","***","***","***","***","***"
"2025","40-000000","Trade, transportation, and utilities","555,300","555,400","***","***","***","***","***","***","***","***","***","***"
"2025","41-000000","Wholesale Trade","118,600","119,100","***","***","***","***","***","***","***","***","***","***"
"2025","42-000000","Retail trade","323,700","322,800","***","***","***","***","***","***","***","***","***","***"
"2025","43-000000","Transportation, Warehousing and Utilities","113,000","113,500","***","***","***","***","***","***","***","***","***","***"
"2025","50-000000","Information","90,700","91,700","***","***","***","***","***","***","***","***","***","***"
"2025","55-000000","Financial activities","227,900","226,800","***","***","***","***","***","***","***","***","***","***"
"2025","55-520000","Finance and insurance","178,200","177,400","***","***","***","***","***","***","***","***","***","***"
"2025","55-530000","Real estate and rental and leasing","49,700","49,400","***","***","***","***","***","***","***","***","***","***"
"2025","60-000000","Professional and business services","625,300","624,200","***","***","***","***","***","***","***","***","***","***"
"2025","60-540000","Professional and technical services","368,800","367,000","***","***","***","***","***","***","***","***","***","***"
"2025","60-550000","Management of companies and enterprises","75,500","75,600","***","***","***","***","***","***","***","***","***","***"
"2025","60-560000","Administrative and waste services","181,000","181,600","***","***","***","***","***","***","***","***","***","***"
"2025","65-000000","Education and health services","843,400","846,000","***","***","***","***","***","***","***","***","***","***"
"2025","65-610000","Educational services","191,600","190,100","***","***","***","***","***","***","***","***","***","***"
"2025","65-620000","Health care and social assistance","651,800","655,900","***","***","***","***","***","***","***","***","***","***"
